iter	Passed	Remaining
838	1425	273
839	1427	271
840	1428	270
841	1429	268
842	1431	266
843	1433	264
844	1435	263
845	1436	261
846	1438	259
847	1439	258
848	1441	256
849	1442	254
850	1444	252
851	1446	251
852	1447	249
853	1449	247
854	1451	246
855	1452	244
856	1453	242
857	1455	240
858	1456	239
859	1458	237
860	1459	235
861	1460	233
862	1462	232
863	1463	230
864	1465	228
865	1466	226
866	1467	225
867	1469	223
868	1470	221
869	1471	219
870	1473	218
871	1474	216
872	1476	214
873	1477	213
874	1479	211
875	1480	209
876	1482	207
877	1483	206
878	1485	204
879	1486	202
880	1488	200
881	1489	199
882	1490	197
883	1492	195
884	1493	194
885	1495	192
886	1496	190
887	1498	188
888	1499	187
889	1500	185
890	1502	183
891	1504	182
892	1505	180
893	1506	178
894	1508	176
895	1509	175
896	1511	173
897	1512	171
898	1514	170
899	1515	168
900	1517	166
901	1518	164
902	1520	163
903	1521	161
904	1523	159
905	1524	158
906	1526	156
907	1527	154
908	1529	153
909	1530	151
910	1531	149
911	1533	147
912	1534	146
913	1536	144
914	1537	142
915	1539	141
916	1540	139
917	1542	137
918	1543	136
919	1545	134
920	1546	132
921	1547	130
922	1549	129
923	1550	127
924	1552	125
925	1553	124
926	1554	122
927	1556	120
928	1557	119
929	1559	117
930	1560	115
931	1562	113
932	1563	112
933	1565	110
934	1566	108
935	1567	107
936	1569	105
937	1570	103
938	1571	102
939	1573	100
940	1574	98
941	1576	97
942	1577	95
943	1578	93
944	1580	91
945	1581	90
946	1583	88
947	1584	86
948	1585	85
949	1587	83
950	1588	81
951	1589	80
952	1591	78
953	1592	76
954	1594	75
955	1595	73
956	1596	71
957	1598	70
958	1599	68
959	1601	66
960	1603	65
961	1604	63
962	1606	61
963	1608	60
964	1609	58
965	1611	56
966	1612	55
967	1614	53
968	1615	51
969	1617	50
970	1618	48
971	1620	46
972	1621	44
973	1622	43
974	1624	41
975	1625	39
976	1626	38
977	1628	36
978	1629	34
979	1631	33
980	1632	31
981	1634	29
982	1635	28
983	1637	26
984	1638	24
985	1640	23
986	1641	21
987	1642	19
988	1644	18
989	1645	16
990	1646	14
991	1648	13
992	1649	11
993	1651	9
994	1652	8
995	1653	6
996	1655	4
997	1656	3
998	1658	1
999	1659	0
